Satellite_Name,Catalog_Number,Classification,International_Designator,Epoch_Year,Epoch_Day,First_Derivative_Mean_Motion,Second_Derivative_Mean_Motion,BSTAR_Drag_Term,Ephemeris_Type,Element_Set_Number,Checksum_Line1,Inclination_deg,RAAN_deg,Eccentricity,Argument_of_Perigee_deg,Mean_Anomaly_deg,Mean_Motion_rev_per_day,Revolution_Number,Checksum_Line2
IRIDIUM 132,42961,U,17061G,26,71.52266928,1.4e-07,0.0,-2.1167e-06,0,999,1,86.3917,65.657,0.0001995,90.4308,269.7116,14.34217398,44096,2
IRIDIUM 136,42962,U,17061H,26,71.48461395,6.1e-07,0.0,1.4660000000000002e-05,0,999,2,86.392,65.6791,0.0002108,86.902,273.2417,14.34217788,44097,8
IRIDIUM 139,42963,U,17061J,26,71.56072578,2.8e-07,0.0,3.0733000000000003e-06,0,999,6,86.392,65.7076,0.0002146,90.6652,269.479,14.34217671,44099,5
IRIDIUM 125,42964,U,17061K,26,71.47827001,7.3e-07,0.0,1.9103e-05,0,999,3,86.3924,65.8016,0.000179,77.3541,282.7855,14.34217985,44099,6
IRIDIUM 135,43070,U,17083A,26,71.52216122,2.03e-06,0.0,6.5272e-05,0,999,1,86.4027,2.4106,0.0002191,83.6786,276.4659,14.34216782,43029,2
IRIDIUM 138,43071,U,17083B,26,71.26846318,7e-08,0.0,-4.6106e-06,0,999,8,86.4037,2.1979,0.0002185,73.6452,286.4984,14.3421749,43024,5
IRIDIUM 116,43072,U,17083C,26,71.30651915,6e-07,0.0,1.4191000000000002e-05,0,999,7,86.4024,2.4888,0.000221,94.1519,265.9929,14.34217288,43028,5
IRIDIUM 130,43073,U,17083D,26,71.55387913,4.2e-07,0.0,7.773e-06,0,999,8,86.4033,2.6509,0.0001934,91.1041,269.0377,14.34217813,43026,1
IRIDIUM 151,43074,U,17083E,26,71.319204,4.6e-07,0.0,9.341800000000001e-06,0,999,2,86.403,2.539,0.0002252,86.1698,273.9755,14.34217799,43025,8
IRIDIUM 134,43075,U,17083F,26,71.35725923,2.1e-07,0.0,3.2737e-07,0,999,1,86.4026,2.5295,0.0002035,87.0497,273.0932,14.34217555,43022,9
IRIDIUM 137,43076,U,17083G,26,71.50948196,5.4e-07,0.0,1.2294e-05,0,999,8,86.4029,2.5569,0.0002498,94.0253,266.1229,14.34217983,43031,5
IRIDIUM 141,43077,U,17083H,26,71.3636028,2.14e-06,0.0,6.9355e-05,0,999,3,86.4023,2.454,0.0002171,82.8638,277.2805,14.34217955,43029,7
IRIDIUM 153,43078,U,17083J,26,71.24600637,3.28e-06,0.0,0.00011007000000000001,0,999,0,86.4011,331.0162,0.0002009,78.7101,281.4321,14.34220804,43138,3
IRIDIUM 131,43079,U,17083K,26,71.350917,1.68e-06,0.0,5.2947e-05,0,999,9,86.4029,2.6382,0.0002257,82.9317,277.2136,14.34218067,43022,6
IRIDIUM 144,43249,U,18030A,26,71.25235502,1.9e-07,0.0,-9.9452e-08,0,999,1,86.4007,330.9452,0.0002091,89.1312,271.0123,14.34217596,41624,6
IRIDIUM 149,43250,U,18030B,26,71.25869735,2.47e-06,0.0,8.099600000000001e-05,0,999,6,86.4006,330.9106,0.0002141,82.9757,277.1682,14.34216627,41626,6
IRIDIUM 157,43251,U,18030C,26,71.2079562,1.26e-06,0.0,3.7844e-05,0,999,3,86.4009,330.9828,0.0002104,83.0448,277.0987,14.34217657,41623,7
IRIDIUM 140,43252,U,18030D,26,71.64559518,1e-07,0.0,-3.4728e-06,0,999,8,86.4001,330.8127,0.0001921,86.1639,273.9776,14.34217484,41635,5
IRIDIUM 145,43253,U,18030E,26,71.21429154,2.26e-06,0.0,7.364800000000001e-05,0,999,5,86.4007,330.9652,0.0002032,95.0749,265.0679,14.34215335,41622,4
